what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1246397495591
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246397500997
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246397501183
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397505266
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397514281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397523616
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397540393
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397549343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397552720
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397564686
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397566712
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397569596
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397575265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397583369
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397589467
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397592341
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397595423
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397599550
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397632874
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397633823
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397703069
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246397706985
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246398067302
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246398072793
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1246398079517
